sensor_id;sensor_type;location;lat;lon;timestamp;P1;P4;P2;P0;N10;N4;N25;N1;N05;TS
65984;SPS30;52748;51.112;5.880;2023-12-22T00:02:01;1.64;1.60;1.40;1.09;8.74;8.73;8.67;8.40;7.06;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:04:27;1.88;1.83;1.61;1.26;10.12;10.11;10.05;9.74;8.20;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:06:53;1.60;1.56;1.38;1.08;8.70;8.69;8.64;8.39;7.07;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:09:20;1.79;1.75;1.55;1.23;9.90;9.89;9.84;9.57;8.08;0.70
65984;SPS30;52748;51.112;5.880;2023-12-22T00:11:45;1.62;1.59;1.40;1.10;8.80;8.79;8.74;8.48;7.14;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:14:11;1.78;1.74;1.55;1.24;9.91;9.91;9.85;9.59;8.11;0.70
65984;SPS30;52748;51.112;5.880;2023-12-22T00:16:37;1.57;1.54;1.38;1.11;8.90;8.89;8.85;8.62;7.31;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:19:04;1.51;1.48;1.33;1.08;8.66;8.65;8.61;8.40;7.14;0.68
65984;SPS30;52748;51.112;5.880;2023-12-22T00:21:29;1.53;1.50;1.33;1.07;8.57;8.56;8.52;8.29;7.02;0.70
65984;SPS30;52748;51.112;5.880;2023-12-22T00:23:55;1.64;1.60;1.40;1.09;8.76;8.76;8.70;8.43;7.09;0.71
65984;SPS30;52748;51.112;5.880;2023-12-22T00:26:22;1.73;1.69;1.48;1.15;9.20;9.19;9.14;8.85;7.43;0.71
65984;SPS30;52748;51.112;5.880;2023-12-22T00:28:47;1.62;1.58;1.39;1.09;8.77;8.76;8.71;8.45;7.12;0.70
65984;SPS30;52748;51.112;5.880;2023-12-22T00:31:13;1.84;1.80;1.59;1.26;10.11;10.10;10.05;9.77;8.25;0.69
65984;SPS30;52748;51.112;5.880;2023-12-22T00:33:39;1.84;1.80;1.59;1.25;10.06;10.05;9.99;9.71;8.19;0.70
