date, pm25, pm10
2022/4/1, 57, 13
2022/4/2, 36, 15
2022/4/3, 39, 19
2022/4/4, 44, 24
2022/4/5, 63, 14
2022/4/6, 34, 14
2022/4/7, 30, 12
2022/4/8, 25, 11
2022/4/9, 25, 10
2022/4/10, 16, 20
2022/4/11, 43, 32
2022/4/12, 68, 22
2022/4/13, 42, 17
2022/4/14, 31, 31
2022/4/15, 67, 30
2022/4/16, 72, 8
2022/4/17, 18, 10
2022/4/18, 21, 22
2022/4/19, 53, 25
2022/4/20, 62, 44
2022/4/21, 103, 26
2022/4/22, 66, 15
2022/4/23, 39, 23
2022/4/24, 57, 13
2022/4/25, 30, 13
2022/4/26, 34, 24
2022/4/27, 58, 14
2022/4/28, 36, 12
2022/4/29, 23, 11
2022/4/30, 22, 
2022/5/2, 31, 19
2022/5/3, 44, 11
2022/5/4, 19, 15
2022/5/5, 27, 16
2022/5/6, 32, 22
2022/5/7, 63, 22
2022/5/8, 55, 12
2022/5/9, 28, 10
2022/5/10, 16, 13
2022/5/11, 21, 18
2022/5/12, 31, 20
2022/5/13, 28, 13
2022/5/14, 30, 17
2022/5/15, 34, 11
2022/5/16, 18, 8
2022/5/17, 11, 9
2022/5/18, 10, 11
2022/5/19, 14, 15
2022/5/20, 23, 15
2022/5/21, 22, 7
2022/5/22, 14, 11
2022/5/23, 24, 15
2022/5/24, 33, 16
2022/5/25, 30, 14
2022/5/26, 33, 10
2022/5/27, 14, 10
2022/5/28, 20, 9
2022/5/29, 15, 11
2022/5/30, 25, 11
2022/5/31, 26, 19
2022/6/1, 47, 14
2022/6/2, 37, 14
2022/6/3, 36, 17
2022/6/4, 44, 12
2022/6/5, 35, 13
2022/6/6, 34, 13
2022/6/7, 29, 14
2022/6/8, 29, 15
2022/6/9, 29, 25
2022/6/10, 60, 18
2022/6/11, 49, 7
2022/6/12, 15, 10
2022/6/13, 22, 11
2022/6/14, 22, 13
2022/6/15, 22, 17
2022/6/16, 35, 12
2022/6/17, 30, 7
2022/6/18, 11, 13
2022/6/19, 22, 13
2022/6/20, 22, 13
2022/6/21, 25, 
2022/3/2, 47, 28
2022/3/3, 60, 48
2022/3/4, 99, 18
2022/3/5, 45, 22
2022/3/6, 53, 22
2022/3/7, 55, 19
2022/3/8, 45, 19
2022/3/9, 45, 26
2022/3/10, 58, 27
2022/3/11, 57, 23
2022/3/12, 46, 29
2022/3/13, 61, 42
2022/3/14, 85, 55
2022/3/15, 117, 63
2022/3/16, 134, 43
2022/3/17, 92, 35
2022/3/18, 70, 40
2022/3/19, 79, 41
2022/3/20, 87, 31
2022/3/21, 67, 39
2022/3/22, 79, 29
2022/3/23, 66, 35
2022/3/24, 73, 32
2022/3/25, 67, 46
2022/3/26, 86, 11
2022/3/27, 20, 18
2022/3/28, 33, 28
2022/3/29, 64, 52
2022/3/30, 115, 38
2022/3/31, 86, 20
2021/7/1, 62, 16
2021/7/2, 42, 16
2021/7/3, 43, 13
2021/7/4, 36, 28
2021/7/5, 62, 
2021/8/5, 61, 11
2021/8/6, 24, 9
2021/8/7, 17, 11
2021/8/8, 23, 13
2021/8/9, 31, 15
2021/8/10, 38, 15
2021/8/11, 34, 13
2021/8/12, 30, 20
2021/8/13, 38, 21
2021/8/14, 49, 19
2021/8/15, 48, 17
2021/8/16, 43, 21
2021/8/17, 52, 19
2021/8/18, 43, 16
2021/8/19, 35, 18
2021/8/20, 39, 23
2021/8/21, 53, 23
2021/8/22, 60, 33
2021/8/23, 83, 32
2021/8/24, 83, 
2021/9/2, 35, 24
2021/9/3, 48, 21
2021/9/4, 48, 9
2021/9/5, 16, 14
2021/9/6, 24, 34
2021/9/7, 66, 35
2021/9/8, 71, 36
2021/9/9, 72, 35
2021/9/10, 70, 46
2021/9/11, 98, 59
2021/9/12, 112, 
2021/9/24, 23, 20
