date, pm25, pm10
2021/7/1, 29, 11
2021/7/2, 36, 11
2021/7/3, 44, 12
2021/7/4, 47, 13
2021/7/5, 46, 14
2021/7/6, 48, 10
2021/7/7, 39, 15
2021/7/8, 54, 10
2021/7/9, 40, 14
2021/7/10, 53, 13
2021/7/11, 48, 13
2021/7/12, 50, 17
2021/7/13, 60, 14
2021/7/14, 51, 13
2021/7/15, 43, 11
2021/7/16, 29, 15
2021/7/17, 51, 15
2021/7/18, 54, 15
2021/7/19, 52, 19
2021/7/20, 61, 13
2021/7/21, 47, 13
2021/7/22, 46, 12
2021/7/23, 47, 11
2021/7/24, 44, 14
2021/7/25, 50, 13
2021/7/26, 47, 19
2021/7/27, 62, 10
2021/7/28, 41, 13
2021/7/29, 44, 12
2021/7/30, 42, 16
2021/7/31, 52, 
2021/8/24, 45, 15
2021/8/25, 55, 20
2021/8/26, 63, 15
2021/8/27, 51, 11
2021/8/28, 42, 16
2021/8/29, 57, 24
2021/8/30, 70, 11
2021/8/31, 44, 
2021/4/1, 69, 19
2021/4/2, 49, 5
2021/4/3, 10, 10
2021/4/4, 26, 11
2021/4/5, 32, 14
2021/4/6, 24, 26
2021/4/7, 42, 7
2021/4/8, 16, 7
2021/4/9, 18, 9
2021/4/10, 25, 7
2021/4/11, 20, 15
2021/4/12, 39, 17
2021/4/13, 47, 27
2021/4/14, 67, 29
2021/4/15, 65, 10
2021/4/16, 31, 12
2021/4/17, 37, 26
2021/4/18, 63, 12
2021/4/19, 36, 15
2021/4/20, 43, 9
2021/4/21, 30, 31
2021/4/22, 56, 8
2021/4/23, 21, 11
2021/4/24, 31, 15
2021/4/25, 39, 5
2021/4/26, 12, 6
2021/4/27, 19, 10
2021/4/28, 32, 11
2021/4/29, 39, 12
2021/4/30, 37, 21
2021/5/1, 60, 27
2021/5/2, 59, 19
2021/5/3, 37, 3
2021/5/4, 8, 6
2021/5/5, 12, 7
2021/5/6, 10, 12
2021/5/7, 26, 9
2021/5/8, 20, 3
2021/5/9, 7, 4
2021/5/10, 8, 5
2021/5/11, 6, 5
2021/5/12, 13, 8
2021/5/13, 22, 6
2021/5/14, 14, 4
2021/5/15, 10, 13
2021/5/16, 33, 7
2021/5/17, 17, 14
2021/5/18, 38, 3
2021/5/19, 8, 12
2021/5/20, 36, 5
2021/5/21, 16, 4
2021/5/22, 10, 3
2021/5/23, 6, 5
2021/5/24, 17, 5
2021/5/25, 17, 11
2021/5/26, 34, 16
2021/5/27, 48, 7
2021/5/28, 17, 6
2021/5/29, 17, 6
2021/5/30, 18, 8
2021/5/31, 24, 8
2021/6/1, 27, 9
2021/6/2, 30, 7
2021/6/3, 22, 5
2021/6/4, 9, 6
2021/6/5, 12, 5
2021/6/6, 12, 5
2021/6/7, 10, 6
2021/6/8, 11, 6
2021/6/9, 13, 4
2021/6/10, 13, 7
2021/6/11, 19, 6
2021/6/12, 18, 5
2021/6/13, 15, 4
2021/6/14, 12, 8
2021/6/15, 24, 6
2021/6/16, 17, 11
2021/6/17, 38, 6
2021/6/18, 16, 8
2021/6/19, 27, 20
2021/6/20, 23, 25
2021/6/21, 35, 11
2021/6/22, 18, 10
2021/6/23, 24, 17
2021/6/24, 27, 19
2021/6/25, 26, 13
2021/6/26, 24, 6
2021/6/27, 14, 6
2021/6/28, 17, 9
2021/6/29, 26, 9
2021/6/30, 27, 8
2021/1/4, 79, 
2021/2/9, 85, 38
2021/2/10, 73, 58
2021/2/11, 87, 13
2021/2/12, 29, 7
2021/2/13, 14, 13
2021/2/14, 29, 
2021/2/20, 23, 11
2021/2/21, 28, 
2021/2/25, 56, 44
2021/2/26, 79, 35
2021/2/27, 65, 8
2021/2/28, 18, 13
2021/3/1, 35, 12
2021/3/2, 31, 27
2021/3/3, 49, 27
2021/3/4, 51, 
2021/3/8, 36, 14
2021/3/9, 25, 7
2021/3/10, 17, 9
2021/3/11, 22, 14
2021/3/12, 26, 36
2021/3/13, 75, 54
2021/3/14, 92, 26
2021/3/15, 43, 28
2021/3/16, 61, 26
2021/3/17, 45, 28
2021/3/18, 60, 18
2021/3/19, 48, 14
2021/3/20, 38, 20
2021/3/21, 48, 17
2021/3/22, 46, 13
2021/3/23, 29, 10
2021/3/24, 27, 18
2021/3/25, 51, 15
2021/3/26, 36, 31
2021/3/27, 63, 29
2021/3/28, 65, 6
2021/3/29, 20, 17
2021/3/30, 50, 17
2021/3/31, 49, 29
2020/10/8, 18, 24
2020/10/9, 40, 33
2020/10/10, 59, 56
2020/10/11, 44, 29
2020/10/12, 44, 20
2020/10/13, 47, 7
2020/10/14, 13, 6
2020/10/15, 12, 13
2020/10/16, 25, 17
2020/10/17, 37, 12
2020/10/18, 34, 7
2020/10/19, 15, 9
2020/10/20, 20, 8
2020/10/21, 20, 7
2020/10/22, 17, 9
2020/10/23, 23, 18
2020/10/24, 44, 28
2020/10/25, 69, 30
2020/10/26, 73, 23
2020/10/27, 57, 27
2020/10/28, 63, 22
2020/10/29, 54, 42
2020/10/30, 84, 24
2020/10/31, 57, 11
2020/11/1, 37, 11
2020/11/2, 31, 15
2020/11/3, 43, 33
2020/11/4, 71, 48
2020/11/5, 90, 21
