date, pm25, pm10, o3, no2, co
2024/1/1, 131, 11, 18, 15, 
2024/1/2, 38, 7, 23, 8, 
2024/1/3, 22, , , , 
2023/10/1, 54, 24, 29, 17, 
2023/10/2, 53, 23, 31, 10, 
2023/10/3, 55, 15, 22, 13, 
2023/10/4, 41, 15, 21, 15, 
2023/10/5, 45, 19, 26, 15, 
2023/10/6, 51, 14, 23, 8, 
2023/10/7, 39, 9, 25, 9, 
2023/10/8, 28, 15, 18, 18, 
2023/10/9, 47, 15, 15, 15, 
2023/10/10, 48, 27, 31, 20, 
2023/10/11, 56, 21, 24, 16, 
2023/10/12, 49, 21, 26, 13, 
2023/10/13, 53, 15, 27, 8, 
2023/10/14, 37, 9, 24, 7, 
2023/10/15, 25, 11, 19, 15, 
2023/10/16, 33, 21, 21, 25, 
2023/10/17, 52, 28, 22, 21, 
2023/10/18, 71, 29, 20, 14, 
2023/10/19, 77, 12, 11, 7, 
2023/10/20, 43, 22, 18, 16, 
2023/10/21, 59, 19, 22, 14, 
2023/10/22, 54, 20, 13, 19, 
2023/10/23, 52, 26, 9, 17, 
2023/10/24, 69, 23, 17, 20, 
2023/10/25, 63, 18, 14, 15, 
2023/10/26, 56, 22, 9, 12, 
2023/10/27, 61, 17, 11, 15, 
2023/10/28, 53, 11, 24, 12, 
2023/10/29, 34, 15, 22, 18, 
2023/10/30, 31, 12, 23, 14, 
2023/10/31, 33, 13, 18, 18, 
2023/11/1, 32, 21, 14, 14, 
2023/11/2, 44, 18, 16, 20, 
2023/11/3, 50, 11, 22, 12, 
2023/11/4, 33, 9, 21, 9, 
2023/11/5, 27, 16, 20, 15, 
2023/11/6, 37, 12, 20, 16, 
2023/11/7, 32, 13, 18, 16, 
2023/11/8, 36, 17, 18, 16, 
2023/11/9, 36, 12, 19, 18, 
2023/11/10, 33, 15, 15, 16, 
2023/11/11, 46, 17, 16, 14, 
2023/11/12, 54, 18, 15, 17, 
2023/11/13, 51, 13, 23, 13, 
2023/11/14, 38, 13, 19, 14, 
2023/11/15, 40, 13, 16, 18, 
2023/11/16, 42, 12, 14, 11, 
2023/11/17, 42, 15, 12, 14, 
2023/11/18, 51, 15, 22, 14, 
2023/11/19, 50, 13, 21, 21, 
2023/11/20, 42, 15, 13, 8, 
2023/11/21, 50, 20, 14, 18, 
2023/11/22, 57, 14, 29, 11, 
2023/11/23, 46, 9, 27, 11, 
2023/11/24, 28, 9, 19, 11, 
2023/11/25, 32, 14, 21, 11, 
2023/11/26, 44, 22, 19, 20, 
2023/11/27, 63, 23, 17, 14, 
2023/11/28, 67, 20, 12, 18, 
2023/11/29, 60, 25, 11, 24, 
2023/11/30, 69, 24, 13, 21, 
2023/12/1, 70, 20, 11, 14, 
2023/12/2, 64, 20, 11, 13, 
2023/12/3, 64, 28, 7, 20, 
2023/12/4, 76, 37, 10, 21, 
2023/12/5, 96, 43, 7, 22, 
2023/12/6, 106, 29, 1, 16, 
2023/12/7, 82, 27, 5, 17, 
2023/12/8, 77, 27, 11, 16, 
2023/12/9, 77, 16, 22, 12, 
2023/12/10, 51, 11, 23, 20, 
2023/12/11, 38, 16, 18, 22, 
2023/12/12, 47, 23, 7, 17, 
2023/12/13, 69, 18, 7, 14, 
2023/12/14, 56, 27, 7, 17, 
2023/12/15, 70, 27, 18, 15, 
2023/12/16, 68, 18, 16, 10, 
2023/12/17, 59, 24, 15, 16, 
2023/12/18, 65, 18, 11, 16, 
2023/12/19, 56, 10, 28, 15, 
2023/12/20, 33, 7, 29, 11, 
2023/12/21, 23, 9, 29, 10, 
2023/12/22, 27, 8, 28, 14, 
2023/12/23, 28, 8, 27, 10, 
2023/12/24, 29, 9, 27, 9, 
2023/12/25, 29, 7, 28, 8, 
2023/12/26, 22, 14, 23, 17, 
2023/12/27, 42, 13, 20, 13, 
2023/12/28, 42, 10, 26, 11, 
2023/12/29, 33, 17, 25, 16, 
2023/12/30, 46, 29, 16, 12, 
2023/12/31, 77, 97, 21, 14, 
2023/7/1, 43, 17, 37, 6, 
2023/7/2, 41, 22, 36, 14, 
2023/7/3, 51, 20, 32, 13, 
2023/7/4, 48, 24, 33, 17, 
2023/7/5, 46, 20, 36, 15, 
2023/7/6, 37, 21, 46, 24, 
2023/7/7, 45, 19, 59, 17, 
2023/7/8, 43, 16, 59, 11, 
2023/7/9, 40, 21, 49, 17, 
2023/7/10, 50, 18, 45, 22, 
2023/7/11, 43, 28, 38, 16, 
2023/7/12, 41, 18, 36, 13, 
2023/7/13, 37, 16, 43, 19, 
2023/7/14, 38, 19, 52, 18, 
2023/7/15, 41, 13, 35, 8, 
2023/7/16, 33, 18, 35, 14, 
2023/7/17, 38, 14, 36, 12, 
2023/7/18, 33, 19, 43, 17, 
2023/7/19, 38, 12, 29, 8, 
2023/7/20, 34, 17, 32, 19, 
2023/7/21, 40, 14, 31, 12, 
2023/7/22, 42, 16, 37, 12, 
2023/7/23, 39, 14, 29, 13, 
2023/7/24, 30, 13, 30, 8, 
2023/7/25, 35, 11, 26, 11, 
2023/7/26, 31, 14, 27, 14, 
2023/7/27, 39, 11, 18, 10, 
2023/7/28, 34, 14, 26, 11, 
2023/7/29, 43, 13, 32, 7, 
2023/7/30, 39, 12, 23, 10, 
2023/7/31, 34, 12, 28, 9, 
2023/8/1, 32, 12, 28, 11, 
2023/8/2, 30, 10, 25, 9, 
2023/8/3, 24, 14, 30, 11, 
2023/8/4, 38, 15, 30, 12, 
2023/8/5, 41, 15, 25, 9, 
2023/8/6, 51, 13, 29, 8, 
2023/8/7, 34, 11, 29, 9, 
2023/8/8, 30, 11, 26, 11, 
2023/8/9, 30, 16, 29, 14, 
2023/8/10, 39, 24, 31, 20, 
2023/8/11, 48, 22, 36, 17, 
2023/8/12, 52, 13, 38, 10, 
2023/8/13, 38, 21, 39, 19, 
2023/8/14, 44, 17, 44, 16, 
2023/8/15, 44, 14, 38, 10, 
2023/8/16, 42, 13, 38, 5, 
2023/8/17, 34, 17, 43, 13, 
2023/8/18, 46, 21, 51, 16, 
2023/8/19, 55, 18, 36, 8, 
2023/8/20, 46, 17, 34, 12, 
2023/8/21, 40, 20, 33, 16, 
2023/8/22, 38, 22, 38, 17, 
2023/8/23, 48, 23, 47, 24, 
2023/8/24, 48, 27, 45, 21, 
2023/8/25, 56, 15, 31, 10, 
2023/8/26, 39, 17, 33, 14, 
2023/8/27, 48, 13, 30, 15, 
2023/8/28, 33, 14, 28, 14, 
2023/8/29, 42, 13, 29, 16, 
2023/8/30, 36, 12, 26, 15, 
2023/8/31, 37, 17, 34, 18, 
2023/9/1, 44, 27, 31, 17, 
2023/9/2, 68, 18, 30, 10, 
2023/9/3, 49, 21, 47, 25, 
2023/9/4, 51, 20, 34, 24, 
2023/9/5, 44, 24, 50, 27, 
2023/9/6, 51, 24, 51, 22, 
2023/9/7, 51, 27, 50, 24, 
2023/9/8, 59, 31, 48, 25, 
2023/9/9, 66, 33, 58, 23, 
2023/9/10, 71, 28, 60, 16, 
2023/9/11, 60, 30, 46, 12, 
2023/9/12, 56, 13, 30, 6, 
2023/9/13, 39, 12, 27, 11, 
2023/9/14, 34, 15, 31, 19, 
2023/9/15, 38, 17, 40, 19, 
2023/9/16, 42, 22, 49, 20, 
2023/9/17, 59, 23, 31, 21, 
2023/9/18, 52, 15, 28, 14, 
2023/9/19, 36, 22, 29, 17, 
2023/9/20, 38, 22, 40, 23, 
2023/9/21, 42, 15, 24, 16, 
2023/9/22, 41, 12, 27, 12, 
2023/9/23, 35, 15, 27, 13, 
2023/9/24, 45, 18, 32, 19, 
2023/9/25, 49, 26, 32, 20, 
2023/9/26, 64, 34, 37, 28, 
2023/9/27, 71, 39, 39, 22, 
2023/9/28, 74, 40, 24, 21, 
2023/9/29, 71, 17, 25, 10, 
2023/9/30, 43, 20, 30, 11, 
2023/4/1, 40, 8, 35, 6, 
2023/4/2, 27, 10, 35, 11, 
2023/4/3, 26, 11, 33, 16, 
2023/4/4, 33, 17, 32, 23, 
2023/4/5, 48, 39, 37, 26, 
2023/4/6, 74, 18, 28, 13, 
2023/4/7, 56, 24, 26, 12, 
2023/4/8, 72, 32, 24, 14, 
2023/4/9, 86, 23, 35, 6, 
2023/4/10, 67, 11, 31, 12, 
2023/4/11, 38, 39, 36, 21, 
2023/4/12, 44, 20, 31, 23, 
2023/4/13, 52, 16, 29, 19, 
2023/4/14, 52, 19, 20, 11, 
2023/4/15, 61, 20, 19, 7, 
2023/4/16, 63, 25, 28, 12, 
2023/4/17, 69, 22, 32, 12, 
2023/4/18, 60, 17, 41, 11, 
2023/4/19, 44, 30, 33, 17, 
2023/4/20, 75, 37, 48, 17, 
2023/4/21, 70, 29, 50, 21, 
2023/4/22, 65, 22, 37, 16, 
2023/4/23, 59, 16, 37, 16, 
2023/4/24, 38, 15, 35, 14, 
2023/4/25, 37, 21, 33, 18, 
2023/4/26, 51, 16, 35, 18, 
2023/4/27, 42, 45, 38, 29, 
2023/4/28, 66, 21, 36, 15, 
2023/4/29, 63, 14, 39, 14, 
2023/4/30, 42, 22, 42, 24, 
2023/5/1, 61, 20, 32, 14, 
2023/5/2, 51, 17, 36, 13, 
2023/5/3, 41, 30, 42, 21, 
2023/5/4, 64, 27, 40, 13, 
2023/5/5, 49, 17, 26, 10, 
2023/5/6, 51, 15, 38, 7, 
2023/5/7, 45, 19, 39, 19, 
2023/5/8, 45, 25, 42, 17, 
2023/5/9, 45, 26, 41, 18, 
2023/5/10, 50, 29, 40, 22, 
2023/5/11, 53, 26, 45, 15, 
2023/5/12, 49, 28, 45, 14, 
2023/5/13, 51, 25, 43, 17, 
2023/5/14, 58, 29, 38, 22, 
2023/5/15, 63, 19, 32, 10, 
2023/5/16, 45, 18, 32, 9, 
2023/5/17, 35, 14, 34, 8, 
2023/5/18, 34, 15, 34, 12, 
2023/5/19, 31, 18, 33, 8, 
2023/5/20, 48, 28, 43, 8, 
2023/5/21, 62, 25, 44, 19, 
2023/5/22, 44, 23, 33, 15, 
2023/5/23, 54, 17, 28, 14, 
2023/5/24, 46, 19, 35, 13, 
2023/5/25, 52, 21, 36, 10, 
2023/5/26, 50, 14, 38, 12, 
2023/5/27, 34, 17, 46, 12, 
2023/5/28, 40, 13, 39, 6, 
2023/5/29, 33, 19, 40, 13, 
2023/5/30, 31, 19, 38, 18, 
2023/5/31, 30, 21, 38, 10, 
2023/6/1, 48, 28, 33, 11, 
2023/6/2, 41, 14, 36, 11, 
2023/6/3, 29, 12, 41, 10, 
2023/6/4, 25, 19, 44, 18, 
2023/6/5, 30, 28, 45, 21, 
2023/6/6, 47, 30, 54, 15, 
