date, pm10, o3, no2, co
2024/1/1, 7, 22, 4, 
2024/1/2, 5, 30, 1, 
2024/1/3, 4, , , 
2023/10/1, 10, 28, 6, 
2023/10/2, 15, 27, 2, 
2023/10/3, 12, 22, 3, 
2023/10/4, 10, 22, 3, 
2023/10/5, 9, 25, 4, 
2023/10/6, 11, 28, 3, 
2023/10/7, 15, 25, 2, 
2023/10/8, 7, 16, 4, 
2023/10/9, 12, 21, 4, 
2023/10/10, 12, 27, 4, 
2023/10/11, 20, 24, 4, 
2023/10/12, 14, 27, 2, 
2023/10/13, 22, 23, 1, 
2023/10/14, 11, 25, 1, 
2023/10/15, 6, 20, 4, 
2023/10/16, 7, 10, 11, 
2023/10/17, 12, 22, 8, 
2023/10/18, 14, 13, 7, 
2023/10/19, 15, 6, 6, 
2023/10/20, 8, 21, 5, 
2023/10/21, 8, 21, 2, 
2023/10/22, 5, 12, 8, 
2023/10/23, 10, 16, 7, 
2023/10/24, 9, 15, 6, 
2023/10/25, 8, 15, 7, 
2023/10/26, 8, 3, 9, 
2023/10/27, 11, 15, 6, 
2023/10/28, 7, 24, 1, 
2023/10/29, 5, 22, 4, 
2023/10/30, 7, 20, 3, 
2023/10/31, 5, 17, 5, 
2023/11/1, 8, 27, 2, 
2023/11/2, 7, 23, 3, 
2023/11/3, 8, 20, 2, 
2023/11/4, 5, 22, 1, 
2023/11/5, 4, 24, 2, 
2023/11/6, 7, 21, 4, 
2023/11/7, 6, 23, 2, 
2023/11/8, 8, 20, 4, 
2023/11/9, 5, 25, 3, 
2023/11/10, 5, 21, 2, 
2023/11/11, 5, 15, 4, 
2023/11/12, 11, 28, 6, 
2023/11/13, 9, 26, 2, 
2023/11/14, 11, 20, 3, 
2023/11/15, 7, 19, 7, 
2023/11/16, 9, 14, 6, 
2023/11/17, 10, 22, 7, 
2023/11/18, 16, 26, 2, 
2023/11/19, 9, 22, 3, 
2023/11/20, 7, 17, 5, 
2023/11/21, 11, 14, 7, 
2023/11/22, 9, 28, 4, 
2023/11/23, 9, 28, 1, 
2023/11/24, 7, 20, 3, 
2023/11/25, 7, 16, 5, 
2023/11/26, 9, 16, 7, 
2023/11/27, 8, 18, 6, 
2023/11/28, 7, 14, 6, 
2023/11/29, 9, 9, 15, 
2023/11/30, 14, 11, 9, 
2023/12/1, 16, 10, 6, 
2023/12/2, 17, 11, 11, 
2023/12/3, 20, 15, 9, 
2023/12/4, 12, 9, 14, 
2023/12/5, 16, 12, 9, 
2023/12/6, 15, 12, 11, 
2023/12/7, 19, 13, 10, 
2023/12/8, 13, 17, 6, 
2023/12/9, 9, 27, 2, 
2023/12/10, 9, 26, 2, 
2023/12/11, 7, 17, 10, 
2023/12/12, 10, 10, 10, 
2023/12/13, 8, 10, 7, 
2023/12/14, 9, 9, 8, 
2023/12/15, 18, 19, 5, 
2023/12/16, 13, 18, 3, 
2023/12/17, 9, 21, 4, 
2023/12/18, 11, 19, 5, 
2023/12/19, 5, 25, 2, 
2023/12/20, 7, 32, 1, 
2023/12/21, 7, 32, 1, 
2023/12/22, 8, 30, 2, 
2023/12/23, 4, 28, 1, 
2023/12/24, 2, 27, 1, 
2023/12/25, 4, 29, 1, 
2023/12/26, 5, 20, 6, 
2023/12/27, 9, 26, 1, 
2023/12/28, 6, 27, 1, 
2023/12/29, 4, 26, 2, 
2023/12/30, 7, 27, 2, 
2023/12/31, 6, 25, 1, 
2023/7/1, 8, 36, 1, 
2023/7/2, 13, 31, 2, 
2023/7/3, 14, 30, 2, 
2023/7/4, 10, 31, 2, 
2023/7/5, 12, 38, 2, 
2023/7/6, 8, 38, 4, 
2023/7/7, 9, 63, 6, 
2023/7/8, 15, 58, 4, 
2023/7/9, 20, 37, 2, 
2023/7/10, 13, 43, 4, 
2023/7/11, 12, 34, 2, 
2023/7/12, 11, 31, 2, 
2023/7/13, 8, 37, 4, 
2023/7/14, 11, , 1, 
2023/7/15, 14, , 1, 
2023/7/16, 8, 31, 2, 
2023/7/17, 9, 39, 2, 
2023/7/18, 9, 37, 4, 
2023/7/19, 10, 29, 2, 
2023/7/20, 6, 32, 5, 
2023/7/21, 7, 35, 2, 
2023/7/22, 9, 26, 2, 
2023/7/23, 9, 24, 1, 
2023/7/24, 7, 27, 1, 
2023/7/25, 11, 27, 1, 
2023/7/26, 6, 18, 3, 
2023/7/27, 7, 29, 2, 
2023/7/28, 8, 27, 2, 
2023/7/29, 6, 28, 1, 
2023/7/30, 10, 20, 1, 
2023/7/31, 6, 24, 1, 
2023/8/1, 7, 19, 2, 
2023/8/2, 8, 27, 1, 
2023/8/3, 6, 29, 1, 
2023/8/4, 8, 30, 2, 
2023/8/5, 7, 30, 1, 
2023/8/6, 8, 28, 1, 
2023/8/7, 9, 27, 1, 
2023/8/8, 7, 31, 1, 
2023/8/9, 6, 32, 3, 
2023/8/10, 12, 37, 4, 
2023/8/11, 15, , 4, 
2023/8/12, 16, , 2, 
2023/8/13, 9, 30, 4, 
2023/8/14, 14, 30, 4, 
2023/8/15, 14, 31, 5, 
2023/8/16, 11, 17, 4, 
2023/8/17, 9, 42, 4, 
2023/8/18, 17, 38, 3, 
2023/8/19, 20, 38, 2, 
2023/8/20, 11, 33, 4, 
2023/8/21, 10, 38, 6, 
2023/8/22, 13, 37, 4, 
2023/8/23, 13, 45, 6, 
2023/8/24, 17, 26, 4, 
2023/8/25, 11, 34, 2, 
2023/8/26, 11, 24, 2, 
2023/8/27, 6, 32, 2, 
2023/8/28, 7, 31, 5, 
2023/8/29, 9, 26, 5, 
2023/8/30, 11, 27, 2, 
2023/8/31, 9, 23, 5, 
2023/9/1, 9, 23, 4, 
2023/9/2, 8, 34, 3, 
2023/9/3, 9, 29, 6, 
2023/9/4, 10, 34, 6, 
2023/9/5, 11, 37, 6, 
2023/9/6, 12, 41, 7, 
2023/9/7, 19, , 8, 
2023/9/8, 19, , 4, 
2023/9/9, 17, 52, 4, 
2023/9/10, 25, 55, 7, 
2023/9/11, 32, 25, 6, 
2023/9/12, 18, , 3, 
2023/9/13, 9, , 5, 
2023/9/14, 10, , 8, 
2023/9/15, 10, , 6, 
2023/9/16, 12, , 7, 
2023/9/17, 14, , 5, 
2023/9/18, 12, , 1, 
2023/9/19, 9, , 2, 
2023/9/20, 7, , 4, 
2023/9/21, 8, , 3, 
2023/9/22, 5, , 2, 
2023/9/23, 7, , 3, 
2023/9/24, 7, , 6, 
2023/9/25, 9, , 8, 
2023/9/26, 12, 32, 8, 
2023/9/27, 13, 34, 6, 
2023/9/28, 16, 25, 7, 
2023/9/29, 16, 29, 2, 
2023/9/30, 10, 27, 3, 
2023/4/1, 4, 33, 1, 
2023/4/2, 4, 34, 4, 
2023/4/3, 5, 34, 7, 
2023/4/4, 8, 34, 10, 
2023/4/5, 14, 38, 9, 
2023/4/6, 16, 40, 5, 
2023/4/7, 14, 19, 4, 
2023/4/8, 13, 25, 6, 
2023/4/9, 20, 35, 7, 
2023/4/10, 18, 34, 3, 
2023/4/11, 5, 31, 6, 
2023/4/12, 6, 31, 4, 
2023/4/13, 6, 32, 11, 
2023/4/14, 11, 23, 5, 
2023/4/15, 11, 23, 4, 
2023/4/16, 17, 39, 5, 
2023/4/17, 12, 28, 4, 
2023/4/18, 10, 43, 3, 
2023/4/19, 8, 34, 4, 
2023/4/20, 12, 46, 4, 
2023/4/21, 18, 41, 4, 
2023/4/22, 16, 33, 3, 
2023/4/23, 13, 33, 2, 
2023/4/24, 4, 34, 2, 
2023/4/25, 10, 35, 2, 
2023/4/26, 11, 36, 4, 
2023/4/27, 9, 26, 7, 
2023/4/28, 20, 37, 3, 
2023/4/29, 13, 37, 3, 
2023/4/30, 7, 37, 4, 
2023/5/1, 10, 34, 3, 
2023/5/2, 10, 35, 5, 
2023/5/3, 9, 38, 8, 
2023/5/4, 15, 31, 6, 
2023/5/5, 16, 31, 3, 
2023/5/6, 12, 28, 2, 
2023/5/7, 10, 36, 4, 
2023/5/8, 10, 37, 5, 
2023/5/9, 12, 25, 5, 
2023/5/10, 14, 14, 7, 
2023/5/11, 12, 45, 6, 
2023/5/12, 12, 44, 5, 
2023/5/13, 16, 43, 5, 
2023/5/14, 15, 41, 6, 
2023/5/15, 20, 31, 1, 
2023/5/16, 11, 31, 2, 
2023/5/17, 11, 36, 4, 
2023/5/18, 11, 36, 4, 
2023/5/19, 12, 31, 3, 
2023/5/20, 10, 42, 4, 
2023/5/21, 20, 41, 5, 
2023/5/22, 21, 30, 2, 
2023/5/23, 16, 25, 3, 
2023/5/24, 16, 33, 4, 
2023/5/25, 15, 35, 3, 
