date, pm25, pm10, o3, no2, so2
2023/12/1, 69, 17, 14, 8, 
2023/12/2, 44, 16, 10, 10, 
2023/12/3, 40, 16, 17, 11, 
2023/12/4, 41, 21, 16, 11, 
2023/12/5, 55, 30, 7, 17, 
2023/12/6, 69, 21, 7, 18, 
2023/12/7, 50, 20, 12, 13, 
2023/12/8, 50, 20, 15, 12, 
2023/12/9, 49, 8, 23, 8, 
2023/12/10, 19, 7, 24, 10, 
2023/12/11, 13, 18, 19, 19, 
2023/12/12, 44, 18, 11, 18, 
2023/12/13, 42, 10, 5, 10, 
2023/12/14, 23, 12, 10, 11, 
2023/12/15, 31, 14, 20, 10, 
2023/12/16, 32, 16, 16, 14, 
2023/12/17, 37, 23, 5, 23, 
2023/12/18, 46, 13, 19, 16, 
2023/12/19, 32, 7, 20, 9, 
2023/12/20, 15, 4, 29, 5, 
2023/12/21, 12, 7, 29, 4, 
2023/12/22, 17, 5, 30, 8, 
2023/12/23, 12, 3, 25, 4, 
2023/12/27, 34, 10, 21, 6, 
2023/12/28, 19, , , , 
2023/11/1, 36, 12, 13, 9, 
2023/11/2, 27, 17, 19, 15, 
2023/11/3, 36, 8, 21, 8, 
2023/11/4, 13, 5, 23, 5, 
2023/11/5, 15, 7, 22, 13, 
2023/11/6, 14, 7, 23, 11, 
2023/11/7, 14, 9, 22, 13, 
2023/11/8, 20, 11, 14, 16, 
2023/11/9, 20, 12, 12, 20, 
2023/11/10, 27, 10, 15, 10, 
2023/11/11, 21, 7, 21, 10, 
2023/11/12, 13, 11, 22, 15, 
2023/11/13, 25, 10, 24, 9, 
2023/11/14, 22, 5, 22, 10, 
2023/11/15, 11, 10, 17, 14, 
2023/11/16, 19, 9, 15, 8, 
2023/11/17, 16, 11, 16, 9, 
2023/11/18, 30, 8, 24, 6, 
2023/11/19, 16, 7, 23, 9, 
2023/11/20, 10, 9, 17, 9, 
2023/11/21, 21, 16, 14, 7, 
2023/11/22, 40, 8, 18, 7, 
2023/11/23, 14, 7, 28, 8, 
2023/11/24, 14, 6, 23, 6, 
2023/11/25, 14, 9, 21, 11, 
2023/11/26, 25, 13, 10, 14, 
2023/11/27, 30, 16, 15, 11, 
2023/11/28, 40, 9, 12, 16, 
2023/11/29, 18, 22, 10, 22, 
2023/11/30, 52, 28, 13, 17, 
2023/10/1, 27, 16, 22, 17, 
2023/10/2, 40, 15, 31, 7, 
2023/10/3, 43, 9, 21, 10, 
2023/10/4, 22, 10, 21, 8, 
2023/10/5, 20, 10, 26, 13, 
2023/10/6, 21, 9, 25, 5, 
2023/10/8, 16, 11, 13, 12, 
2023/10/9, 24, 13, 14, 11, 
2023/10/10, 31, 17, 35, 11, 
2023/10/11, 47, 16, 31, 11, 
2023/10/12, 45, 15, 31, 14, 
2023/10/13, 40, 11, 28, 6, 
2023/10/14, 28, 7, 21, 5, 
2023/10/15, 15, 9, 16, 11, 
2023/10/16, 24, 13, 11, 16, 
2023/10/17, 34, 16, 24, 10, 
2023/10/18, 42, 20, 22, 9, 
2023/10/19, 51, 26, 4, 10, 
2023/10/20, 66, 13, 16, 14, 
2023/10/21, 39, 9, 19, 9, 
2023/10/22, 20, 12, 14, 15, 
2023/10/23, 28, 16, 12, 13, 
2023/10/24, 38, 12, 13, 15, 
2023/10/25, 27, 8, 13, 12, 
2023/10/26, 15, 14, 15, 14, 
2023/10/27, 32, 5, 19, 10, 
2023/10/28, 10, 9, 19, 10, 
2023/10/29, 19, 12, 13, 12, 
2023/10/30, 29, 7, 20, 8, 
2023/10/31, 20, 11, 18, 16, 
2023/7/1, 29, 12, 30, 8, 
2023/7/2, 29, 9, 31, 5, 
2023/7/3, 45, 14, 25, 11, 
2023/7/4, 34, 19, 30, 11, 
2023/7/5, 48, 12, 28, 13, 
2023/7/6, 30, 15, 33, 18, 
2023/7/7, 40, 16, 42, 14, 
2023/7/8, 41, 17, 47, 13, 
2023/7/9, 46, 19, 41, 12, 
2023/7/10, 50, 14, 45, 11, 
2023/7/11, 35, 13, 34, 12, 
2023/7/12, 32, 11, 32, 10, 
2023/7/13, 28, 13, 36, 14, 
2023/7/14, 34, 14, 40, 11, 
2023/7/15, 36, 10, 29, 6, 
2023/7/16, 21, 13, 32, 10, 
2023/7/17, 34, 11, 32, 11, 
2023/7/18, 28, 13, 35, 12, 
2023/7/19, 33, 10, 23, 10, 
2023/7/20, 23, 10, 25, 13, 
2023/7/21, 21, 11, 27, 9, 
2023/7/22, 25, 10, 31, 9, 
2023/7/23, 21, 10, 29, 12, 
2023/7/24, 24, 12, 19, 12, 
2023/7/25, 31, 12, 23, 8, 
2023/7/26, 27, 8, 18, 12, 
2023/7/27, 19, 5, 15, 7, 
2023/7/28, 9, 5, 24, 7, 
2023/7/29, 10, 7, 21, 5, 
2023/7/30, 12, 8, 24, 8, 
2023/7/31, 15, 7, 21, 9, 
2023/8/1, 11, 8, 20, 8, 
