date, pm25, pm10, o3, no2, so2, co
2023/12/1, 38, 7, 17, , , 
2023/12/2, 30, 17, 7, , , 
2023/12/3, 60, 16, 10, , , 
2023/12/4, 58, 9, 12, , , 
2023/12/5, 33, 9, 8, , , 
2023/12/6, 33, 15, 7, , , 
2023/12/7, 52, 18, 8, , , 
2023/12/8, 63, 13, 16, , , 
2023/12/9, 43, 9, 26, , , 
2023/12/10, 26, 5, 25, , , 
2023/12/11, 14, 12, 16, , , 
2023/12/12, 36, 5, 11, , , 
2023/12/13, 14, 8, 12, , , 
2023/12/14, 23, 10, 6, , , 
2023/12/15, 35, 10, 11, , , 
2023/12/16, 32, 15, 6, , , 
2023/12/17, 52, 15, 1, , , 
2023/12/18, 57, 10, 10, , , 
2023/12/19, 42, 4, 21, , , 
2023/12/20, 14, 2, 30, , , 
2023/12/21, 6, 3, 28, , , 
2023/12/22, 7, 2, 26, , , 
2023/12/23, 5, 1, 26, , , 
2023/12/24, 5, 2, 24, , , 
2023/12/25, 8, 3, 25, , , 
2023/12/26, 9, 7, 14, , , 
2023/12/27, 20, 8, 19, , , 
2023/12/28, 29, , , , , 
2023/11/1, 12, 4, 25, , , 
2023/11/2, 7, 6, 21, , , 
2023/11/3, 13, 4, 19, , , 
2023/11/4, 9, 2, 24, , , 
2023/11/5, 6, 4, 21, , , 
2023/11/6, 10, 4, 21, , , 
2023/11/7, 9, 5, 21, , , 
2023/11/8, 13, 5, 20, , , 
2023/11/9, 14, 3, 23, , , 
2023/11/10, 8, 4, 21, , , 
2023/11/11, 10, 10, 9, , , 
2023/11/12, 34, 5, 28, , , 
2023/11/13, 17, 8, 28, , , 
2023/11/14, 19, 4, 25, , , 
2023/11/15, 9, 8, 14, , , 
2023/11/16, 21, 11, 8, , , 
2023/11/17, 33, 11, 13, , , 
2023/11/18, 36, 6, 25, , , 
2023/11/19, 16, 5, 25, , , 
2023/11/20, 13, 7, 13, , , 
2023/11/21, 20, 6, 15, , , 
2023/11/22, 20, 10, 7, , , 
2023/11/23, 39, 4, 24, , , 
2023/11/24, 13, 5, 23, , , 
2023/11/25, 14, 5, 17, , , 
2023/11/26, 19, 6, 16, , , 
2023/11/27, 21, 4, 18, , , 
2023/11/28, 15, 9, 10, , , 
2023/11/29, 35, 14, 2, , , 
2023/11/30, 49, 9, 15, , , 
2023/10/1, 39, 20, 24, , 1, 
2023/10/2, 54, 16, 22, , , 
2023/10/3, 43, 9, 24, , , 
2023/10/4, 19, 10, 16, , , 
2023/10/5, 25, 11, 19, , , 
2023/10/6, 28, 11, 25, , , 
2023/10/7, 31, 11, 19, , , 
2023/10/8, 27, 16, 8, , , 
2023/10/9, 31, 17, 18, , , 
2023/10/10, 38, 22, 31, , , 
2023/10/11, 42, 19, 8, , , 
2023/10/12, 42, 20, 24, , , 
2023/10/13, 42, 11, 27, , , 
2023/10/14, 22, 5, 22, , , 
2023/10/15, 12, 7, 19, , , 
2023/10/16, 19, 9, 15, , , 
2023/10/17, 21, 10, 15, , , 
2023/10/18, 27, 18, 4, , , 
2023/10/19, 49, 10, 12, , , 
2023/10/20, 26, 6, 27, , , 
2023/10/21, 8, 7, 23, , , 
2023/10/22, 14, 11, 6, , , 
2023/10/23, 21, 11, 2, , , 
2023/10/24, 30, 9, 9, , , 
2023/10/25, 23, 5, 16, , , 
2023/10/26, 14, 7, 19, , , 
2023/10/27, 17, 6, 18, , , 
2023/10/28, 13, 5, 19, , , 
2023/10/29, 10, 7, 19, , , 
2023/10/30, 12, 4, 23, , , 
2023/10/31, 9, 5, 21, , , 
2023/7/1, 17, 13, 37, , , 
2023/7/2, 39, 13, 33, , , 
2023/7/3, 36, 11, 34, , , 
2023/7/4, 29, 8, 30, , , 
2023/7/5, 16, 7, 35, , , 
2023/7/6, 14, 13, 52, , , 
2023/7/7, 25, 14, 59, , , 
2023/7/8, 36, 16, 57, , , 
2023/7/9, 35, 17, 41, , , 
2023/7/10, 45, 19, 55, , , 
2023/7/11, 40, 10, 34, , , 
2023/7/12, 22, 10, 34, , , 
2023/7/13, 14, 14, 45, , , 
2023/7/14, 21, 17, 33, , , 
2023/7/15, 33, 10, 30, , , 
2023/7/16, 23, 12, 36, , , 
2023/7/17, 24, 11, 44, , , 
2023/7/18, 19, 17, 44, , , 
2023/7/19, 27, 10, 37, , , 
2023/7/20, 19, 11, 32, , , 
2023/7/21, 23, 10, 39, , , 
2023/7/22, 24, 11, 27, , , 
2023/7/23, 20, 8, 27, , , 
2023/7/24, 18, 8, 23, , , 
2023/7/25, 17, 7, 29, , , 
2023/7/26, 16, 8, 10, , , 
2023/7/27, 19, 5, 15, , , 
2023/7/28, 10, 8, 27, , , 
2023/7/29, 16, 7, 27, , , 
2023/7/30, 14, 7, 26, , , 
2023/7/31, 17, 5, 23, , , 
2023/8/1, 13, 6, 23, , , 
2023/8/2, 13, 5, 24, , , 
2023/8/3, 9, 8, 25, , , 
2023/8/4, 18, 13, 29, , , 
2023/8/5, 23, 5, 23, , , 
2023/8/6, 10, 6, 28, , , 
2023/8/7, 13, 9, 27, , , 
2023/8/8, 16, 7, 27, , , 
2023/8/9, 14, 15, 41, , , 
2023/8/10, 27, 16, 40, , , 
2023/8/11, 27, 14, 24, , , 
2023/8/12, 35, 15, 28, , , 
2023/8/13, 22, 16, 26, , , 
2023/8/14, 29, 16, 21, , , 
2023/8/15, 33, 19, 33, , , 
2023/8/16, 37, 10, 40, , , 
2023/8/17, 19, 12, 38, , , 
2023/8/18, 28, 17, 39, , , 
2023/8/19, 38, 16, 38, , , 
2023/8/20, 39, 15, 38, , , 
2023/8/21, 35, 17, 47, , , 
2023/8/22, 43, 16, 47, , , 
2023/8/23, 39, 16, 34, , , 
2023/8/24, 35, 17, 33, , , 
2023/8/25, 41, 8, 31, , , 
2023/8/26, 19, 11, 18, , , 
2023/8/27, 23, 11, 25, , , 
2023/8/28, 16, 9, 21, , , 
2023/8/29, 16, 9, 30, , , 
2023/8/30, 21, 7, 28, , , 
2023/8/31, 18, 5, 19, , , 
2023/9/1, 15, 10, 25, , , 
2023/9/2, 15, 13, 29, , , 
2023/9/3, 30, 10, 38, , , 
2023/9/4, 24, 10, 38, , , 
2023/9/5, 19, 12, 39, , , 
2023/9/6, 26, 16, 46, , , 
2023/9/7, 35, 19, 44, , , 
2023/9/8, 41, 19, 52, , , 
