date, pm25, pm10, no2
2023/12/1, 58, 15, 17
2023/12/2, 38, 18, 13
2023/12/3, 55, 20, 15
2023/12/4, 57, 26, 8
2023/12/5, 78, 49, 13
2023/12/6, 137, 48, 17
2023/12/7, 136, 19, 11
2023/12/8, 59, 19, 11
2023/12/9, 57, 11, 12
2023/12/10, 24, 13, 20
2023/12/11, 32, 11, 7
2023/12/12, 27, 9, 4
2023/12/13, 19, 12, 13
2023/12/14, 24, 18, 14
2023/12/15, 49, 12, 7
2023/12/16, 27, 15, 5
2023/12/17, 37, 14, 10
2023/12/18, 36, 8, 12
2023/12/19, 9, 13, 10
2023/12/20, 19, 14, 8
2023/12/21, 36, 12, 8
2023/12/22, 18, 9, 11
2023/12/23, 15, 8, 4
2023/12/24, 18, 18, 6
2023/12/25, 34, 11, 4
2023/12/26, 16, 13, 13
2023/12/27, 20, 9, 3
2023/12/28, 14, , 
2023/11/1, 16, 9, 9
2023/11/2, 8, 11, 11
2023/11/3, 18, 9, 7
2023/11/4, 13, 9, 9
2023/11/5, 26, 10, 9
2023/11/6, 15, 13, 9
2023/11/7, 30, 12, 10
2023/11/8, 22, 9, 12
2023/11/9, 28, 11, 12
2023/11/10, 20, 17, 15
2023/11/11, 45, 14, 8
2023/11/12, 38, 17, 10
2023/11/13, 43, 11, 8
2023/11/14, 16, 10, 11
2023/11/15, 16, 6, 8
2023/11/16, 7, 9, 11
2023/11/17, 17, 11, 9
2023/11/18, 23, 12, 8
2023/11/19, 27, 14, 13
2023/11/20, 34, 10, 5
2023/11/21, 15, 12, 15
2023/11/22, 18, 13, 6
2023/11/23, 24, 9, 11
2023/11/24, 9, 8, 12
2023/11/25, 7, 12, 16
2023/11/26, 27, 10, 7
2023/11/27, 33, 9, 10
2023/11/28, 18, 11, 12
2023/11/29, 23, 21, 26
2023/11/30, 55, 21, 23
2023/10/1, 34, 25, 14
2023/10/2, 66, 19, 6
2023/10/3, 44, 13, 11
2023/10/4, 20, 13, 14
2023/10/5, 16, 13, 9
2023/10/6, 27, , 
2023/10/8, 10, 9, 14
2023/10/9, 13, 18, 12
2023/10/10, 42, 19, 10
2023/10/11, 42, 18, 16
2023/10/12, 26, 18, 10
2023/10/13, 33, 14, 8
2023/10/14, 18, 9, 6
2023/10/15, 12, 14, 18
2023/10/16, 25, 13, 18
2023/10/17, 17, 12, 12
2023/10/18, 21, 15, 3
2023/10/19, 35, 8, 1
2023/10/20, 17, 9, 6
2023/10/21, 19, 9, 8
2023/10/22, 11, 15, 15
2023/10/23, 28, 16, 9
2023/10/24, 42, 20, 11
2023/10/25, 54, 9, 4
2023/10/26, 28, 6, 4
2023/10/27, 7, 11, 5
2023/10/28, 31, 10, 6
2023/10/29, 16, 13, 11
2023/10/30, 20, 8, 9
2023/10/31, 16, 11, 12
2023/7/1, 17, 18, 2
2023/7/2, 27, 13, 6
2023/7/3, 16, 12, 5
2023/7/4, 12, 13, 5
2023/7/5, 18, 11, 8
2023/7/6, 10, 14, 16
2023/7/7, 24, 17, 8
2023/7/8, 34, 17, 5
2023/7/9, 27, 17, 10
2023/7/10, 36, 15, 10
2023/7/11, 22, 12, 6
2023/7/12, 16, 12, 6
2023/7/13, 14, 13, 9
2023/7/14, 21, 14, 4
