date, pm25, pm10, o3, no2, so2, co
2023/12/1, 56, 12, 17, 4, 1, 
2023/12/2, 47, 14, 13, 7, 1, 
2023/12/3, 55, 17, 11, 11, , 
2023/12/4, 60, 24, 11, 8, 1, 
2023/12/5, 78, 24, 8, 11, 1, 
2023/12/6, 77, 21, 2, 10, 1, 
2023/12/7, 71, 19, 7, 9, 1, 
2023/12/8, 67, 16, 13, 8, 1, 
2023/12/9, 57, 8, 23, 3, 1, 
2023/12/10, 30, 7, 26, 4, 1, 
2023/12/11, 20, 8, 20, 9, 1, 
2023/12/12, 25, 15, 6, 10, 1, 
2023/12/13, 54, 12, 5, 7, 1, 
2023/12/14, 46, 16, 9, 8, 1, 
2023/12/15, 56, 15, 19, 5, 1, 
2023/12/16, 52, 10, 17, 4, 1, 
2023/12/17, 37, 11, 16, 5, 1, 
2023/12/18, 41, 9, 13, 6, 1, 
2023/12/19, 36, 7, 27, 4, 1, 
2023/12/20, 20, 5, 31, 2, 1, 
2023/12/21, 20, 7, 30, 1, 1, 
2023/12/22, 20, 6, 30, 2, , 
2023/12/23, 18, 3, 26, 1, , 
2023/12/24, 11, 5, 29, 1, 1, 
2023/12/25, 15, 5, 29, , 1, 
2023/12/26, 14, 10, 25, 5, 1, 
2023/12/27, 26, 6, 21, 2, , 
2023/12/28, 21, , , , , 
2023/11/1, 18, 9, 15, 5, 1, 
2023/11/2, 25, 9, 19, 5, 1, 
2023/11/3, 24, 7, 23, 3, 1, 
2023/11/4, 21, 5, 23, 1, 1, 
2023/11/5, 11, 7, 22, 2, 1, 
2023/11/6, 17, 6, 22, 3, 1, 
2023/11/7, 15, 6, 22, 3, 1, 
2023/11/8, 15, 6, 20, 4, 1, 
2023/11/9, 15, 6, 21, 4, 1, 
2023/11/10, 15, 7, 15, 5, 1, 
2023/11/11, 23, 9, 15, 4, 1, 
2023/11/12, 32, 8, 18, 5, 1, 
2023/11/13, 25, 9, 25, 2, 1, 
2023/11/14, 26, 6, 22, 4, 1, 
2023/11/15, 17, 8, 20, 5, 1, 
2023/11/16, 24, 8, 16, 3, 1, 
