date, pm25, pm10, o3, no2, so2, co
2023/12/1, 53, 14, 9, 11, , 
2023/12/2, 52, 15, 11, 11, 2, 
2023/12/3, 56, 15, 10, 9, 3, 
2023/12/4, 56, 16, 10, 9, , 
2023/12/5, 58, 29, 4, 12, 1, 
2023/12/6, 89, 41, 5, 13, 1, 
2023/12/7, 115, 23, 8, 9, 2, 
2023/12/8, 72, 17, 17, 9, 1, 
2023/12/9, 60, 8, 20, 8, 1, 
2023/12/10, 30, 9, 18, 11, 1, 
2023/12/11, 31, 10, 14, 10, 1, 
2023/12/12, 36, 8, 17, 4, 1, 
2023/12/13, 29, 5, 14, 7, 1, 
2023/12/14, 14, 13, 16, 10, 1, 
2023/12/15, 45, 14, 17, 6, 1, 
2023/12/16, 48, 11, 19, 4, 1, 
2023/12/17, 41, 17, 15, 7, 1, 
2023/12/18, 58, 16, 21, 8, 1, 
2023/12/19, 53, 8, 25, 6, 1, 
2023/12/20, 21, 8, 31, 4, 1, 
2023/12/21, 21, 11, 31, 2, 1, 
2023/12/22, 25, 7, 28, 6, , 
2023/12/23, 16, 2, 25, 3, , 
2023/12/24, 9, 7, 26, 3, , 
2023/12/25, 22, 10, 26, 2, , 
2023/12/26, 28, 9, 18, 10, 4, 
2023/12/27, 23, 9, 17, 6, 1, 
2023/11/1, 18, 8, 22, 5, 5, 
2023/11/2, 12, 8, 20, 8, 5, 
2023/11/3, 17, 8, 20, 7, 2, 
2023/11/4, 19, 5, 16, 5, 1, 
2023/11/5, 12, 8, 18, 5, , 
2023/11/6, 21, 9, 16, 8, , 
2023/11/7, 26, 9, 22, 7, 1, 
2023/11/9, 18, 8, 18, 11, 1, 
2023/11/10, 18, 9, 17, 12, 1, 
2023/11/11, 28, 14, 11, 9, 2, 
2023/11/12, 49, 17, 22, 10, 2, 
2023/11/13, 56, 11, 23, 5, 1, 
2023/11/14, 35, 7, 15, 8, 1, 
2023/11/15, 17, 5, 21, 4, 1, 
2023/11/16, 14, 3, 18, 5, 1, 
2023/11/17, 11, 7, 15, 8, 3, 
2023/11/18, 23, 10, 22, 5, 3, 
2023/11/19, 33, 10, 20, 16, 1, 
2023/11/20, 34, 7, 19, 5, , 
2023/11/21, 22, , 12, 13, 1, 
2023/11/23, 30, 8, 29, 4, , 
2023/11/24, 20, 6, 19, 6, 1, 
2023/11/25, 13, 6, 13, 14, 6, 
2023/11/26, 19, 8, 20, 6, 2, 
2023/11/27, 29, 5, 17, 6, 3, 
2023/11/28, 16, 9, 13, 11, 1, 
2023/11/29, 31, 11, 14, 12, 3, 
2023/11/30, 41, 14, 8, 14, , 
2023/10/1, 40, 16, 26, 13, 1, 
2023/10/2, 52, 19, 26, 6, 1, 
2023/10/3, 54, 10, 22, 5, 1, 
2023/10/4, 25, 10, 26, 6, 1, 
2023/10/5, 28, 11, 20, 8, 1, 
2023/10/6, 33, 9, 25, 4, 1, 
2023/10/7, 27, 5, 22, 5, 2, 
2023/10/8, 13, 7, 18, 8, 4, 
2023/10/9, 18, 9, 17, 10, 1, 
2023/10/10, 29, 20, 20, 9, 2, 
2023/10/11, 53, 15, 24, 10, 1, 
2023/10/12, 39, 17, 23, 9, 2, 
2023/10/13, 43, 16, 26, 3, 1, 
2023/10/14, 37, 6, 22, 4, 1, 
2023/10/15, 13, 5, 19, 9, 1, 
2023/10/16, 14, 9, 20, 15, 2, 
2023/10/17, 20, 10, 21, 12, 1, 
2023/10/18, 27, 12, 21, 6, 1, 
2023/10/19, 44, 9, 15, 4, 1, 
2023/10/20, 32, 5, 8, 6, 2, 
2023/10/21, 17, 8, 14, 9, 1, 
2023/10/22, 25, 11, 15, 13, 1, 
2023/10/23, 36, 13, 11, 9, 2, 
2023/10/24, 40, 15, 13, 11, 2, 
2023/10/25, 47, 13, 16, 4, 1, 
2023/10/26, 42, 6, 6, 4, , 
2023/10/27, 17, 6, 12, 4, , 
2023/10/28, 17, 8, 20, 6, 2, 
2023/10/29, 22, 7, 19, 9, 4, 
2023/10/30, 15, 8, 19, 8, 1, 
2023/10/31, 20, 8, 13, 10, 2, 
2023/7/1, 28, 11, 32, 2, 1, 
2023/7/2, 27, 12, 25, 6, 1, 
2023/7/3, 31, 17, 24, 6, 1, 
2023/7/4, 29, 10, 29, 6, 2, 
2023/7/5, 25, 10, 29, 5, 1, 
2023/7/6, 23, 9, 47, 8, 1, 
2023/7/7, 23, 13, 51, 4, 1, 
2023/7/8, 33, 16, 51, 5, 1, 
2023/7/9, 36, 14, 37, 5, 1, 
2023/7/10, 37, 9, 41, 10, 3, 
2023/7/11, 25, 10, 27, 5, 1, 
2023/7/12, 25, 8, 28, 8, 1, 
2023/7/13, 21, 9, 34, 8, 2, 
2023/7/14, 27, 11, 38, 6, 2, 
2023/7/15, 27, 10, 27, 5, 1, 
2023/7/16, 23, 10, 26, 6, 2, 
2023/7/17, 25, 7, 28, 5, 1, 
2023/7/18, 18, 8, 27, 5, 1, 
2023/7/19, 17, 5, 26, 4, 1, 
2023/7/20, 11, 6, 32, 6, 1, 
2023/7/21, 11, 8, 26, 4, 1, 
2023/7/22, 22, 10, 20, 5, 1, 
2023/7/23, 34, 9, 28, 5, 1, 
2023/7/24, 27, 9, 27, 3, 1, 
2023/7/25, 22, 8, 25, 2, 1, 
2023/7/26, 17, 8, 23, 8, 2, 
2023/7/27, 19, 7, 22, 3, 1, 
2023/7/28, 19, 8, 25, 7, 1, 
2023/7/29, 28, 10, 24, 5, 1, 
2023/7/30, 34, 7, 19, 8, 2, 
2023/7/31, 22, 6, 22, 4, 1, 
2023/8/1, 15, 6, 23, 5, 1, 
2023/8/2, 19, 6, 32, 5, 1, 
2023/8/3, 15, 6, 29, 2, 1, 
2023/8/4, 15, 8, 31, 5, 1, 
2023/8/5, 19, 8, 23, 3, 1, 
2023/8/6, 22, 9, 29, 3, 1, 
2023/8/7, 19, 8, 24, 2, 1, 
2023/8/8, 14, 6, 27, 3, 1, 
2023/8/9, 11, 9, 31, 6, 1, 
2023/8/10, 17, 11, 24, 14, 5, 
2023/8/11, 24, 15, 24, 10, 1, 
2023/8/12, 37, 11, 28, 8, 2, 
2023/8/13, 29, 11, 36, 12, 3, 
2023/8/14, 29, 15, 32, 12, 2, 
2023/8/15, 40, 11, 28, 5, 1, 
2023/8/16, 29, 8, 23, 4, 1, 
2023/8/17, 17, 8, 29, 4, 1, 
2023/8/18, 18, 16, 34, 6, 1, 
2023/8/19, 46, 16, 34, 6, 1, 
2023/8/20, 46, 10, 32, 6, 1, 
2023/8/21, 26, 10, 35, 11, 1, 
2023/8/22, 21, 12, 31, 6, 1, 
2023/8/23, 25, 11, 35, 6, 2, 
2023/8/24, 28, 18, 22, 9, 1, 
2023/8/25, 46, 17, 30, 5, 1, 
2023/8/26, 53, 11, 24, 7, 1, 
2023/8/27, 34, 7, 31, 5, 1, 
2023/8/28, 19, 6, 31, 8, 1, 
2023/8/29, 15, 10, 28, 13, 1, 
2023/8/30, 26, 9, 26, 4, 1, 
2023/8/31, 30, 7, 28, 7, 1, 
2023/9/1, 19, 9, 35, 10, 1, 
2023/9/2, 23, 9, 32, 6, 1, 
2023/9/3, 23, 10, 33, 12, 1, 
2023/9/4, 26, 15, 33, 12, 2, 
2023/9/5, 29, 19, 34, 13, 3, 
2023/9/6, 39, 18, 42, 7, 1, 
2023/9/7, 39, 20, 47, 8, 2, 
2023/9/8, 47, 25, 56, 11, 9, 
2023/9/9, 56, 38, 58, 10, 1, 
