date, pm25, pm10, o3, no2, so2
2023/12/1, 62, 17, 13, 8, 
2023/12/2, 61, 15, 15, 12, 
2023/12/3, 53, 21, 3, 22, 
2023/12/4, 67, 16, 21, 11, 
2023/12/5, 52, 5, 16, 9, 
2023/12/6, 13, 12, 15, 17, 
2023/12/7, 41, 18, 6, 20, 
2023/12/8, 54, 14, 23, 12, 
2023/12/9, 50, 8, 32, 3, 
2023/12/10, 24, 6, 27, 7, 
2023/12/11, 15, 10, 16, 17, 
2023/12/12, 23, 6, 21, 12, 
2023/12/13, 16, 6, 12, 13, 
2023/12/14, 19, 7, 13, 11, 
2023/12/15, 25, 11, 8, 13, 
2023/12/16, 37, 17, 2, 12, 
2023/12/17, 57, 23, 1, 14, 
2023/12/18, 66, 27, 6, 14, 
2023/12/19, 69, 12, 25, 6, 
2023/12/20, 37, 3, 32, 4, 
2023/12/21, 9, 3, 31, 2, 
2023/12/22, 7, 2, 31, 1, 
2023/12/23, 6, 2, 29, 1, 
2023/12/24, 4, 2, 28, 2, 
2023/12/25, 5, 3, 27, 3, 
2023/12/26, 10, 5, 11, 14, 
2023/12/27, 18, 11, 3, 17, 
2023/12/28, 35, , , , 
2023/11/1, 10, 5, 24, 12, 
2023/11/2, 12, 6, 21, 10, 
2023/11/3, 14, 6, 28, 8, 
2023/11/4, 19, 3, 30, 2, 
2023/11/5, 7, 3, 23, 6, 
2023/11/6, 7, 4, 22, 9, 
2023/11/7, 10, 5, 25, 10, 
2023/11/8, 12, 11, 26, 12, 
2023/11/9, 29, 5, 25, 6, 
2023/11/10, 11, 4, 26, 4, 
2023/11/11, 9, 5, 16, 9, 
2023/11/12, 18, 7, 24, 11, 
2023/11/13, 25, 6, 30, 7, 
2023/11/14, 15, 5, 29, 5, 
2023/11/15, 9, 6, 13, 12, 
2023/11/16, 15, 6, 20, 10, 
2023/11/17, 18, 6, 16, 10, 
2023/11/18, 19, 5, 29, 4, 
2023/11/19, 16, 6, 24, 8, 
2023/11/20, 15, 6, 15, 12, 
2023/11/21, 16, 7, 15, 7, 
2023/11/22, 23, 14, 23, 11, 
2023/11/23, 40, 7, 27, 5, 
2023/11/24, 16, 4, 26, 3, 
2023/11/25, 12, 4, 20, 5, 
2023/11/26, 14, 7, 26, 9, 
2023/11/27, 20, 4, 20, 7, 
2023/11/28, 12, 9, 15, 14, 
2023/11/29, 32, 16, 2, 21, 
2023/11/30, 46, 20, , 16, 
2023/10/1, 43, 17, 43, 10, 
2023/10/2, 53, 28, 37, 4, 
2023/10/3, 72, 11, 30, 7, 
2023/10/4, 29, 11, 22, 10, 
2023/10/5, 25, 15, 21, 11, 
2023/10/6, 40, 18, 21, 13, 
2023/10/7, 49, 17, 30, 11, 
2023/10/8, 41, 31, 13, 17, 
2023/10/9, 54, 41, 24, 14, 
2023/10/10, 63, 35, 31, 15, 
2023/10/11, 60, 31, 20, 17, 
2023/10/12, 55, 31, 34, 11, 
2023/10/13, 54, 20, 32, 1, 
2023/10/14, 34, 6, 25, 4, 
2023/10/15, 16, 7, 25, 7, 
2023/10/16, 21, 9, 11, 9, 
2023/10/17, 28, 15, 6, 11, 
2023/10/18, 51, 18, 2, 14, 
2023/10/19, 55, 14, 22, 10, 
2023/10/20, 42, 6, 30, 6, 
2023/10/21, 17, 6, 31, 8, 
2023/10/22, 17, 11, 2, 15, 
2023/10/23, 30, 15, 8, 14, 
2023/10/24, 39, 10, 25, 9, 
2023/10/25, 29, 6, 18, 11, 
2023/10/26, 14, 6, 24, 8, 
2023/10/27, 15, 5, 28, 6, 
2023/10/28, 12, 7, 19, 9, 
2023/10/29, 20, 6, 24, 11, 
2023/10/30, 14, 6, 21, 7, 
2023/10/31, 12, 5, 28, 6, 
2023/7/1, 42, 9, 39, 1, 
2023/7/2, 24, 18, 33, 4, 
2023/7/3, 53, 10, 35, 4, 
2023/7/4, 25, 11, 32, 5, 
2023/7/5, 26, 9, 43, 6, 
2023/7/6, 19, 12, 50, 5, 
2023/7/7, 28, 14, 48, 5, 
2023/7/8, 36, 13, 50, 6, 
2023/7/9, 32, 20, 44, 9, 
2023/7/10, 46, 20, 48, 7, 
2023/7/11, 46, 17, 31, 3, 
2023/7/12, 39, 10, 40, 4, 
2023/7/13, 19, 11, 51, 6, 
2023/7/14, 22, 13, 48, 6, 
2023/7/15, 30, 11, 32, 1, 
2023/7/16, 24, 8, 36, 5, 
2023/7/17, 22, 11, 42, 7, 
2023/7/18, 25, 14, 42, 6, 
2023/7/19, 33, 12, 38, 3, 
2023/7/20, 21, 10, 36, 8, 
2023/7/21, 18, 9, 37, 4, 
2023/7/22, 19, 8, 34, 4, 
2023/7/23, 21, 11, 29, 7, 
2023/7/24, 31, 9, 24, 6, 
2023/7/25, 23, 7, 30, 3, 
2023/7/26, 20, 8, 19, 8, 
2023/7/27, 21, 10, 12, 9, 
2023/7/28, 25, 8, 26, 3, 
2023/7/29, 19, 6, 30, 2, 
2023/7/30, 14, 6, 31, 3, 
2023/7/31, 17, 7, 32, 2, 
2023/8/1, 18, 6, 25, 3, 
2023/8/2, 14, 6, 27, 1, 
2023/8/3, 13, 5, 27, 5, 
2023/8/4, 9, 6, 39, 2, 
2023/8/5, 17, 6, 30, 1, 
2023/8/6, 17, 4, 30, 1, 
2023/8/7, 9, 5, 30, 3, 
2023/8/8, 12, 6, 26, 4, 
2023/8/9, 15, 7, 45, 3, 
2023/8/10, 17, 10, 58, 7, 
2023/8/11, 26, 14, 38, 6, 
2023/8/12, 36, 10, 26, 4, 
2023/8/13, 32, 10, 43, 6, 
2023/8/14, 28, 16, 38, 6, 
2023/8/15, 46, 13, 43, 5, 
2023/8/16, 36, 13, 34, 5, 
2023/8/17, 37, 14, 50, 3, 
2023/8/18, 40, 13, 53, 5, 
