date,city,pm25,pm10
2014-08-13,munich, , 15
2014-08-14,munich, , 15
2014-08-15,munich, , 14
2014-08-16,munich, , 9
2014-08-17,"dresden-bergstraße,-germany", , 10
2014-08-17,munich, , 10
2014-08-18,"sternschanze,-hamburg, germany", , 10
2014-08-18,"dresden-bergstraße,-germany", , 10
2014-08-18,munich, , 14
2014-08-19,"stuttgart-bad-cannstatt, germany", , 
2014-08-19,munich, , 18
2014-08-19,"dresden-bergstraße,-germany", , 17
2014-08-19,"potsdam-zentrum,-germany", , 
2014-08-19,"hannover,-germany",, 
2014-08-19,"berlin,-germany", , 
2014-08-19,"sternschanze,-hamburg, germany", 21, 9
2014-08-20,"potsdam-zentrum,-germany", , 7
2014-08-20,"hannover,-germany",, 7
2014-08-20,"dresden-bergstraße,-germany", , 16
2014-08-20,munich, , 18
2014-08-20,"stuttgart-bad-cannstatt, germany", , 12
2014-08-20,"sternschanze,-hamburg, germany", 15, 9
2014-08-20,"berlin,-germany", , 20
2014-08-21,"hannover,-germany",, 12
2014-08-21,"berlin,-germany", , 23
2014-08-21,munich, , 18
2014-08-21,"potsdam-zentrum,-germany", , 11
2014-08-21,"sternschanze,-hamburg, germany", 25, 15
2014-08-21,"dresden-bergstraße,-germany", , 20
2014-08-21,"stuttgart-bad-cannstatt, germany", , 15
2014-08-22,"sternschanze,-hamburg, germany", 47, 14
2014-08-22,munich, , 18
2014-08-22,"stuttgart-bad-cannstatt, germany", , 19
2014-08-22,"berlin,-germany", , 38
2014-08-22,"hannover,-germany",, 12
2014-08-22,"potsdam-zentrum,-germany", , 14
2014-08-22,"dresden-bergstraße,-germany", , 19
2014-08-23,"berlin,-germany", , 21
2014-08-23,"potsdam-zentrum,-germany", , 13
2014-08-23,munich, , 21
2014-08-23,"stuttgart-bad-cannstatt, germany", , 16
2014-08-23,"hannover,-germany",, 13
2014-08-23,"dresden-bergstraße,-germany", , 16
2014-08-23,"sternschanze,-hamburg, germany", 46, 10
2014-08-24,"dresden-bergstraße,-germany", , 10
2014-08-24,"stuttgart-bad-cannstatt, germany", , 9
2014-08-24,munich, , 14
2014-08-24,"sternschanze,-hamburg, germany", 31, 8
2014-08-24,"potsdam-zentrum,-germany", , 8
2014-08-24,"hannover,-germany",, 9
2014-08-24,"berlin,-germany", , 18
2014-08-25,munich, , 14
2014-08-25,"dresden-bergstraße,-germany", , 19
2014-08-25,"hannover,-germany",, 9
2014-08-25,"berlin,-germany", , 23
2014-08-25,"potsdam-zentrum,-germany", , 13
2014-08-25,"stuttgart-bad-cannstatt, germany", , 14
2014-08-25,"sternschanze,-hamburg, germany", 25, 11
2014-08-26,"dresden-bergstraße,-germany", , 19
2014-08-26,"hannover,-germany",, 12
2014-08-26,"sternschanze,-hamburg, germany", 26, 13
2014-08-26,"stuttgart-bad-cannstatt, germany", , 12
2014-08-26,munich, , 17
2014-08-26,"berlin,-germany", , 22
2014-08-26,"potsdam-zentrum,-germany", , 14
2014-08-27,"potsdam-zentrum,-germany", , 22
2014-08-27,"sternschanze,-hamburg, germany", 16, 19
2014-08-27,munich, , 17
2014-08-27,"dresden-bergstraße,-germany", , 16
2014-08-27,"berlin,-germany", , 25
2014-08-27,"hannover,-germany",, 14
2014-08-27,"stuttgart-bad-cannstatt, germany", , 6
2014-08-28,"berlin,-germany", , 31
2014-08-28,"dresden-bergstraße,-germany", , 21
2014-08-28,"stuttgart-bad-cannstatt, germany", , 17
